Start,Duration,Text
0.12,3.66,if you want to make real money with
2.1,2.94,affiliate marketing as fast as possible
3.78,2.94,I'm going to break it all down for you
5.04,2.94,so this business course covers
6.72,2.64,everything you need to start a
7.98,3.6,profitable affiliate marketing business
9.36,4.08,that's setting up your website the tools
11.58,4.2,you need to get started all the ways to
13.44,4.14,use AI how to write monetizable articles
15.78,3.66,join the affiliate programs and make
17.58,4.14,real affiliate income in a sustainable
19.44,4.08,ongoing way so affiliate marketing is my
21.72,3.6,favorite form of monetization it's how
23.52,2.82,my blog adaminfo.com makes over a
25.32,2.76,hundred thousand dollars a month with
26.34,3.3,that Revenue stream and I'm pumped to
28.08,3.84,share this real business information
29.64,3.78,with you so let's get started so this
31.92,4.02,full course is how to create a real
33.42,3.96,affiliate marketing business in 2023.
35.94,3,now it's still the best way in my
37.38,3.54,opinion to make passive income because
38.94,4.08,we're promoting other people's products
40.92,3.659,we don't need a huge audience yet and we
43.02,2.76,don't need our own product and it's a
44.579,2.461,great way to make passive income you
45.78,2.7,don't have to do a whole lot it doesn't
47.04,3.06,require a lot of money to get started
48.48,3.239,and building affiliate marketing Market
50.1,3.6,marketing website is pretty easy these
51.719,3.66,days however turning this into a real
53.7,2.58,business can be more challenging so
55.379,2.641,that's what we're going to break down
56.28,3.299,for you so first of all why affiliate
58.02,3.3,marketing where does it fit well there's
59.579,3.78,a lot of reasons to own your own website
61.32,3.78,this is the central repository of your
63.359,3.001,personal brand every personal brand
65.1,2.879,every person out there should have their
66.36,4.2,own website and even if you're a
67.979,4.261,YouTuber or on Instagram a website is
70.56,3.54,what is the central repository of the
72.24,3.48,information about you so why don't we
74.1,2.879,start a website and make a lot of
75.72,2.82,affiliate income doing the same thing
76.979,2.941,it's the starting point it's the perfect
78.54,3.24,Revenue stream if you don't have an
79.92,4.199,audience yet it dictates your initial
81.78,3.839,content strategy so the right keywords
84.119,3.481,equals money so when we think about how
85.619,3.661,do we make the most money from affiliate
87.6,3.059,marketing well we need a website because
89.28,3.42,of search intent and people buying
90.659,3.841,things online via Google search and we
92.7,3.419,need to rank for the right keywords so
94.5,3.36,ranking for the right keywords requires
96.119,3.54,that you create content around affiliate
97.86,3.66,marketing keywords and you need to know
99.659,3.841,that stuff which dictates the initial
101.52,3.959,content that you create also you can
103.5,3.659,fail a lot I failed tons of times and
105.479,3.121,the great thing about a website and
107.159,2.82,affiliate marketing is you can fail and
108.6,3.299,you don't affect customers you know it's
109.979,3.361,not an e-commerce business where you can
111.899,3,ship products and it messes up and
113.34,3.66,people get pissed at you you just create
114.899,3.841,content when a Blog is an infinitely
117,3,updatable asset that can be updated an
118.74,2.879,infinite number of times you can fail
120,4.14,lot and you learn a lot you learn about
121.619,3.6,seo on-page seo keyword research link
124.14,2.64,building affiliate marketing
125.219,3.361,monetization how the internet works you
126.78,2.88,learn it all as you do it and there's
128.58,2.159,really a lot of scams out there when
129.66,2.34,you're learning this stuff so I want you
130.739,2.881,to take it from someone like me who's
132,3.48,built a real affiliate business who has
133.62,3.42,a Blog adamandfro.com who's ranked for
135.48,2.82,over four years for Content who's made
137.04,3.48,over a hundred thousand dollars a month
138.3,4.74,with affiliate marketing for over 12
140.52,3.84,months in a row not somebody saying with
143.04,2.4,a nice thumbnail on YouTube saying
144.36,2.519,here's how you make five thousand
145.44,3.12,dollars a month but they don't really
146.879,3.121,have good information here which is why
148.56,3.66,we're going to take it as you know to
150,3.72,the next level and give real strategic
152.22,3.239,business advice here
153.72,2.82,and ultimately affiliate marketing is
155.459,2.881,the first Revenue stream of many
156.54,3.36,affiliate marketing starts then you can
158.34,2.94,do ad Revenue then you can eventually
159.9,2.94,sell your own product you can do
161.28,3.539,Consulting you can do all kinds of
162.84,3.24,different revenue streams but we need to
164.819,3.121,start somewhere and affiliate marketing
166.08,3.06,is where we start so let's talk about
167.94,2.82,building your affiliate marketing
169.14,2.819,website first so if you don't have a
170.76,2.339,website yet this is where you need to
171.959,2.761,get started
173.099,3.78,let's talk about choosing your domain
174.72,4.08,name this is why I like personal brand
176.879,3.541,websites so
178.8,3.18,the no way name doesn't matter for
180.42,3.599,ranking content on Google it doesn't
181.98,3.6,matter if you have a keyword Rich domain
184.019,3.061,name or anything like that what matters
185.58,3.299,is you have something you can fail a lot
187.08,3.6,at and you won't quit that's ultimately
188.879,3.541,what matters and I started mine at
190.68,3.419,adamandfro.com my own name I was going
192.42,3.179,to use it as like a digital resume maybe
194.099,3.121,use it for my career write a few
195.599,3.36,affiliate articles I didn't think I'd
197.22,3.54,make that much money but it ended up
198.959,3.301,working because of new startup tactics I
200.76,3.119,was using and just the fact that I
202.26,3.18,didn't quit and that was at my name now
203.879,2.821,what you can do is if you don't want to
205.44,3.18,put it at your full name I would just
206.7,3.3,say firstlastname.com you can do that
208.62,3.18,and rank for anything you choose to
210,3.959,write about change niches if it doesn't
211.8,3.24,work try and test new things out you
213.959,3.14,could also like I could have went back
215.04,4.38,and used something like adamsguide.com
217.099,4.301,adamsadvice.com something broad enough
219.42,3.539,where I want to be known for one thing
221.4,3.419,so I want to be in one Niche I want to
222.959,3.601,cover it but it can be me it's my name
224.819,3.541,that's why I was able to now be on
226.56,3.539,YouTube because it's just tied to my
228.36,3.299,name I didn't create a niche site called
230.099,3.06,the email marketing guy I would have
231.659,3.061,pigeonholed myself into that one
233.159,3.601,category and then I would have been
234.72,3.599,screwed for YouTube Instagram Tick Tock
236.76,3.479,and all of those things but I think a
238.319,3.301,personal brand is the perfect way to
240.239,3,start so first you're going to need to
241.62,3.36,host your website and this is basically
243.239,3.901,where your website stores all its files
244.98,3.899,folders images and this is the main
247.14,3.659,ongoing cost of running a websites so I
248.879,3.541,really like wpx for WordPress they have
250.799,3.481,really fast hosting and I also really
252.42,4.319,like Nexus so they offer affordable
254.28,3.72,plans starting at just 19 a month you
256.739,4.441,get a lot of perks with that so you get
258,6.24,features like SSL for security so https
261.18,4.68,no overage fees 24 7 support so they've
264.24,3.42,also created hosting for maximum speed
265.86,3.54,so they have a built-in CDN content
267.66,3.539,delivery Network image compression
269.4,3.48,caching to make sure everything loads
271.199,3.541,fast because site speed is a major
272.88,3.96,racking ranking Factor when it comes to
274.74,3.66,SEO I like to think of Nexus as the kind
276.84,3.359,of Hosting that people upgrade from
278.4,3.72,shared hosting to Nexus so maybe they
280.199,3.481,start at like Bluehost or HostGator they
282.12,3.18,eventually move to something like Nexus
283.68,3.239,so if you're looking for a you know
285.3,2.58,affordable WordPress hosting make sure
286.919,2.881,to click the link in the description
287.88,3.42,below and sign up for Nexus web hosting
289.8,2.7,so every web host is a little bit
291.3,3.119,different but they're super easy to set
